,,,Source: Date:  Flexion CI and KMK Primary Market Research,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% patients moving to Zilretta by month,,,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23
Treated w/ HA Only,Orthopedic Surgeons,,0.0%,0.1%,0.1%,0.2%,0.2%,0.2%,0.3%,0.3%,0.4%,0.5%,0.6%,0.7%,0.9%,1.0%,1.2%,1.4%,1.6%,1.8%,2.0%,2.2%,2.4%,2.6%,2.8%,3.0%,3.2%,3.4%,3.6%,3.8%,4.0%,4.2%,4.4%,4.5%,4.7%,4.8%,5.0%,5.1%,5.2%,5.3%,5.4%,5.4%,5.5%,5.5%,5.6%,5.6%,5.6%,5.6%,5.6%,5.6%,5.6%,5.6%,5.6%,5.6%,5.5%,5.5%,5.5%,5.4%,5.4%,5.4%,5.3%,5.3%,5.3%,5.2%,5.2%,5.2%,5.2%,5.1%,5.1%,5.1%,5.1%,5.1%,5.1%,5.0%,5.0%
Treated w/ IAS Only,,,0.1%,0.2%,0.3%,0.3%,0.4%,0.5%,0.6%,0.8%,1.0%,1.2%,1.4%,1.7%,2.0%,2.4%,2.8%,3.2%,3.6%,4.1%,4.5%,5.0%,5.4%,5.9%,6.4%,6.8%,7.3%,7.8%,8.2%,8.7%,9.1%,9.6%,10.0%,10.4%,10.8%,11.1%,11.4%,11.7%,12.0%,12.2%,12.3%,12.5%,12.6%,12.7%,12.8%,12.9%,12.9%,12.9%,12.9%,12.9%,12.9%,12.9%,12.8%,12.8%,12.7%,12.6%,12.6%,12.5%,12.4%,12.3%,12.3%,12.2%,12.1%,12.1%,12.0%,11.9%,11.9%,11.8%,11.8%,11.7%,11.7%,11.7%,11.6%,11.6%,11.6%
Treated w/ Both HA & IAS ,,,0.1%,0.1%,0.2%,0.3%,0.3%,0.4%,0.5%,0.6%,0.8%,0.9%,1.1%,1.3%,1.6%,1.9%,2.2%,2.5%,2.9%,3.2%,3.6%,3.9%,4.3%,4.7%,5.1%,5.4%,5.8%,6.2%,6.5%,6.9%,7.3%,7.6%,8.0%,8.3%,8.6%,8.9%,9.1%,9.3%,9.5%,9.7%,9.8%,9.9%,10.0%,10.1%,10.2%,10.2%,10.3%,10.3%,10.3%,10.3%,10.3%,10.2%,10.2%,10.2%,10.1%,10.1%,10.0%,9.9%,9.9%,9.8%,9.8%,9.7%,9.7%,9.6%,9.6%,9.5%,9.5%,9.4%,9.4%,9.3%,9.3%,9.3%,9.2%,9.2%,9.2%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Treated w/ HA Only,Rheumatologists,,0.0%,0.1%,0.1%,0.2%,0.2%,0.2%,0.3%,0.4%,0.4%,0.5%,0.6%,0.8%,0.9%,1.1%,1.3%,1.4%,1.6%,1.8%,2.0%,2.3%,2.5%,2.7%,2.9%,3.1%,3.3%,3.5%,3.7%,4.0%,4.2%,4.4%,4.6%,4.7%,4.9%,5.1%,5.2%,5.3%,5.4%,5.5%,5.6%,5.7%,5.7%,5.8%,5.8%,5.8%,5.9%,5.9%,5.9%,5.9%,5.9%,5.9%,5.8%,5.8%,5.8%,5.7%,5.7%,5.7%,5.6%,5.6%,5.6%,5.5%,5.5%,5.5%,5.5%,5.4%,5.4%,5.4%,5.4%,5.3%,5.3%,5.3%,5.3%,5.3%,5.3%
Treated w/ IAS Only,,,0.1%,0.2%,0.2%,0.3%,0.4%,0.5%,0.6%,0.7%,0.9%,1.0%,1.3%,1.5%,1.8%,2.1%,2.5%,2.9%,3.3%,3.7%,4.1%,4.5%,4.9%,5.3%,5.7%,6.2%,6.6%,7.0%,7.4%,7.9%,8.3%,8.7%,9.1%,9.4%,9.8%,10.1%,10.3%,10.6%,10.8%,11.0%,11.2%,11.3%,11.4%,11.5%,11.6%,11.6%,11.7%,11.7%,11.7%,11.7%,11.7%,11.6%,11.6%,11.5%,11.5%,11.4%,11.4%,11.3%,11.2%,11.2%,11.1%,11.0%,11.0%,10.9%,10.9%,10.8%,10.7%,10.7%,10.7%,10.6%,10.6%,10.5%,10.5%,10.5%,10.4%
Treated w/ Both HA & IAS ,,,0.1%,0.1%,0.2%,0.3%,0.3%,0.4%,0.5%,0.6%,0.7%,0.9%,1.0%,1.3%,1.5%,1.8%,2.1%,2.4%,2.7%,3.1%,3.4%,3.7%,4.1%,4.4%,4.8%,5.2%,5.5%,5.9%,6.2%,6.6%,6.9%,7.3%,7.6%,7.9%,8.2%,8.4%,8.7%,8.9%,9.0%,9.2%,9.3%,9.4%,9.5%,9.6%,9.7%,9.7%,9.8%,9.8%,9.8%,9.8%,9.8%,9.7%,9.7%,9.7%,9.6%,9.6%,9.5%,9.5%,9.4%,9.3%,9.3%,9.2%,9.2%,9.1%,9.1%,9.0%,9.0%,9.0%,8.9%,8.9%,8.8%,8.8%,8.8%,8.8%,8.7%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
